title,number,likes,retweets,time
Driving toward innovation: http://ubr.to/drivingcmu ,262,78,52,9 Sep 2015
#UberGIVING is live in over 20 European countries. Help those impacted by the refugee crisis: http://ubr.to/UKgiving ,263,57,36,9 Sep 2015
What makes Uber run,264,79,95,8 Sep 2015
End the long weekend on a high note:,265,20,5,7 Sep 2015
This Monday is meant for adventure—let's go.,266,81,37,7 Sep 2015
LIVE on #Periscope: On the Road with Above & Beyond https://www.periscope.tv/w/aLsqDTE5MDY1MTF8MU9kSnJQTFJ2QXpLWB67ZcwFOHjr79nmYb80HEYfWG9jmd1MDvpMOhrJFGHu …,267,47,33,5 Sep 2015
Thank you @GovOfficeNC for signing legislation protecting the future of ridesharing across NC: http://t.uber.com/InnovateNC ,268,50,35,4 Sep 2015
"Long weekend checklist: complete.

Beach towel 
Sunscreen 
Playlist: http://ubr.to/LDWcruise  ",269,27,11,4 Sep 2015
Late night at the office? Uber for Business has you covered (coffee not included). http://ubr.to/business ,270,74,44,3 Sep 2015
We've covered lots of ground together since launching Uber for Business. Take a look back: http://ubr.to/U4B1yr ,271,53,36,2 Sep 2015
A few facts about the O'Connor court case:,272,43,23,1 Sep 2015
Book. Ride. Explore. Simplify your stay with ride reminders: http://ubr.to/hilton ,273,52,47,1 Sep 2015
"#ICYMI, see what happened when @jonathangaurano went from behind-the-wheel to backstage: http://ubr.to/weekndcncrt ",274,36,17,31 Aug 2015
Cruise through the week and right into Labor Day weekend with this playlist from @NoonPacific. http://ubr.to/LDWcruise ,275,21,13,31 Aug 2015
Something CRAZY just happened - Watch me meet @TheWeeknd thanks to @Uber! 20 hours compacted into 2 minutes of fun! https://www.youtube.com/watch?v=ddrzjPOEcFY …,276,24,26,26 Aug 2015
"1 year of shared rides has led to money saved, new connections, + cleaner cities. Thanks for riding with #uberPOOL!",277,94,64,27 Aug 2015
"#UberON: Guwahati, Nashik, Thiruvananthapuram, Vadodara.
With these 4 new cities, we're now 22 http://t.uber.com/uberin22 ",278,55,65,23 Aug 2015
Last winner of the day. She was a 49ers fan but I converted her to #RaiderNation @uber @xbox @EASPORTS,279,106,30,24 Aug 2015
Cruising with @Uber_SD to deliver some @EAMaddenNFL #Madden16 to unsuspecting fans!  http://T.uber.com/maddenSD ,280,110,29,24 Aug 2015
Congrats to our first winner of the day!,281,106,27,24 Aug 2015
"TOUCHDOWN! 

Check out that #Madden16 delivery by @JerryAzumah!",282,28,13,24 Aug 2015
Who wants to be the 1st to grab #Madden16 & @Xbox one with @Uber_DFW today.,283,47,27,24 Aug 2015
Another happy winner! #Madden16 ,284,31,15,24 Aug 2015
Thanks @Uber_NYC for the copy of #Madden16 up on East Harlem!,285,26,15,24 Aug 2015
East Coast! Open up your @Uber apps. NFL players are now delivering free copies of #Madden16. http://ubr.to/madden ,286,168,137,24 Aug 2015
Pictured: a #superpumped veteran of the National Guard who says he's always wanted to meet @DBrooks55. Too. Awesome.,287,30,18,24 Aug 2015
We’re passing a free copy of #Madden16 your way when you request in app today. http://ubr.to/madden ,288,85,88,24 Aug 2015
Be the first to catch a free copy of #Madden16. We have @NFL players throwing them your way! http://ubr.to/madden ,289,160,155,24 Aug 2015
.@JonathanGaurano's latest video has everyone dancing—now find out what moves him: http://ubr.to/morejam ,290,29,9,21 Aug 2015
"Hey, @EAMaddenNFL—how do we get in on this #MaddenSeason movement?  ",291,64,22,21 Aug 2015
We're proud to announce a first-of-its-kind strategic partnership with Bharti Airtel http://ubr.to/airtel ,292,76,69,21 Aug 2015
"If you're in the mood for less traffic and more jam, @jonathangaurano is the driver for you. http://ubr.to/morejam ",293,646,403,19 Aug 2015
"SF, your #UberEATS is served. We're bringing you local favorites in 10 minutes or less! http://ubereats.com/eats/sf/ ",294,66,51,19 Aug 2015
"Get ready to dig in, San Francisco and Austin—#UberEATS has arrived.",295,72,52,18 Aug 2015
Our hearts go out to the victims of tonight’s tragedy. Help the injured by donating blood. http://t.uber.com/blooddriveth   #redcross #prayforbangkok,296,38,69,17 Aug 2015
"""Not missing a single school pickup or dropoff."" #WhyIDrive http://ubr.to/BackToSchool ",297,49,31,17 Aug 2015
"Today, #uberPOOL comes to Boston - the easiest and cheapest way to share a ride: http://t.uber.com/BostonPOOL ",298,69,64,13 Aug 2015
"Dolphins DT A.J. Francis may be earning an NFL paycheck, but he's also making some extra cash as an Uber driver: http://es.pn/1TkZ9CP ",299,486,277,10 Aug 2015
"In support of @ItGetsBetter, we are proud to share the incredible rider stories and messages of hope. Love is love.",300,72,45,7 Aug 2015
Destination: weekend,301,139,47,7 Aug 2015
"Today in Manhattan, #ShareaCoke w/ your uberPOOL co-rider & you could share a free ride! Info: http://t.uber.com/shareacoke ",302,460,142,7 Aug 2015
"As a blind athlete, @Uber gives Matt the independence to travel the world to compete http://t.uber.com/MeetMatt ",303,44,20,6 Aug 2015
#ILookLikeAnEngineer I work on the Web Platform team at @Uber #nodejs #javascript,304,180,65,5 Aug 2015
There is no “typical” Uber driver-partner. #UberData http://ubr.to/top10 ,305,390,244,5 Aug 2015
61% of driver-partners have full or part time-careers outside of Uber. #UberData http://ubr.to/top10 ,306,62,46,5 Aug 2015
"On average, 50% of U.S. Uber driver-partners drive less than 10 hours a week. #UberData http://ubr.to/top10 ",307,48,38,5 Aug 2015
87% of driver-partners say a major reason they drive is to be their own boss and set their own schedule. #UberData,308,86,45,5 Aug 2015
Flexibility is key. #UberData http://ubr.to/top10 ,309,42,25,5 Aug 2015
73% of driver-partners agree: choosing their own schedule > a 9-5 job. #UberData http://ubr.to/top10 ,310,49,23,5 Aug 2015
The driving factor for hitting the road? Flexibility! #UberData http://ubr.to/top10 ,311,33,24,5 Aug 2015
"Today, we're counting down the top facts you might not know about Uber driver-partners—stay tuned!",312,37,24,5 Aug 2015
"""My son's a baseball player + wanted to go to an academy for the summer."" #WhyIDrive

-Laurie http://ubr.to/WhyIDrive ",313,32,31,5 Aug 2015
#whyidrive http://t.uber.com/whyidrive  to invest in my business,314,13,5,29 Jul 2015
"""I get to pick when I want to work—I can still be a great teacher."" #WhyIDrive 

-Jenny http://ubr.to/WhyIDrive ",315,145,82,4 Aug 2015
"""Since Uber, I've increased my business by 60%."" #WhyIDrive

-Mike",316,80,52,3 Aug 2015
#whyidrive http://t.uber.com/whyidrive  so I never have to miss a single event in my daughters' lives #fieldtripchaperone #everysoftballgame,317,15,11,30 Jul 2015
#whyidrive http://t.uber.com/whyidrive  I took this from my Lanai  #kauai #stayathomemom #wemadeit #grateful #Uberdriver,318,34,12,29 Jul 2015
"After stealing the show last night, @KygoMusic sat down with us to answer some questions. http://ubr.to/kygo ",319,247,61,31 Jul 2015
LIVE on #Periscope: Kygo Exclusive https://www.periscope.tv/w/aIrOQTE5MDY1MTF8NTA1NjQwMzLTH35ZCUfyr1Lvxf86Y-kntMO0m3FDrcxRepFqgsJVvw== …,320,30,22,30 Jul 2015
Tonight | Chicago | @Uber | Nothing Left,321,511,128,30 Jul 2015
We're teaming up w/ @AARP’s @lifereimagined to bring new income opportunities to its members. http://ubr.to/AARPlr ,322,50,35,30 Jul 2015
"Join us on the dancefloor w/ @KygoMusic, for an exclusive, free show tonight. Find out how to attend –",323,78,39,30 Jul 2015
Score your tickets and your ride! Check out @StubHub's new app integration and #UberOn. http://ubr.to/stubhub ,324,39,22,29 Jul 2015
"Michael, a teacher, saved for a dream ring for his dream girl by driving with us on the side. http://ubr.to/goals ",325,99,23,29 Jul 2015
Driving in her free time is part of Keiry's recipe for successfully owning her own business. http://ubr.to/goals ,326,58,19,28 Jul 2015
"""The ability to make a big difference is something you don’t want to miss.” http://ubr.to/engineering ",327,49,50,28 Jul 2015
"From stay-at-home moms to graduate students, we're uniting all types of women who love driving on our platform.",328,87,59,27 Jul 2015
"Yesterday, we delivered #UberIceCream by land, sea, and sky—what a sugar rush!",329,125,36,25 Jul 2015
"252 cities. 57 countries. 6 continents. #UberIceCream, out. http://ubr.to/IceCreamSocial 

Sweet dreams.",330,115,49,24 Jul 2015
Say aloha to #UberIceCream in Hawaii—the last stop on our chill tour! http://ubr.to/IceCreamSocial ,331,54,23,24 Jul 2015
"How has #UberIceCream made Fridays around the world a little sweeter? Add us on @Snapchat to see. 

Username: uber",332,39,26,24 Jul 2015
LIVE on #Periscope: #UberIceCream 2015 https://www.periscope.tv/w/aIKHtjE5MDY1MTF8NDYyMTE4Nji-0pPDw04FXNZhvGNn-DZ6T5dewywLtVFaEvCFXvGWpA== …,333,15,7,24 Jul 2015
watching LIVE on #Periscope: #UberIceCream is blowing my mind. @Uber !!! https://www.periscope.tv/w/aIKAUjE5MDY1MTF8NDYxODk5NjOdxb2bFScYxAAc6naOoq0VKSKcIjUiz1YT68q3vwTxxw== …,334,26,11,24 Jul 2015
Thanks @Uber_NYC @Uber!! #UberIceCream Delicious!!! #UpperEastSide #UES,335,57,30,24 Jul 2015
watched on #Periscope: Uber Ice Cream Day! TGIF!!  https://www.periscope.tv/w/aIJoMTE5MDY1MTF8NDYxMjk1NTBwEbfpXEPGAlTeLkoj5BBOd85dXlANVq5vn08v3ZDwKw== …,336,15,12,24 Jul 2015
My Friday Buddy  thank you uber_nyc #icecreamondemand #ubericecream #nevertooearlyforsweets https://instagram.com/p/5hrSSnG6Cv/ ,337,42,15,24 Jul 2015
watched on #Periscope: Quand Uber livre des glaces chez Twitter France #UberIceCream https://www.periscope.tv/w/aIJatjE5MDY1MTF8NDU5ODk2NjbRjmIYjpEx6kXD3b1S3aw_I5R93EZEKcIPh-_wz43pNw== …,338,8,4,24 Jul 2015
Get your hands on the #BlackandWalt from @amplehills today on #UberEATS: http://t.uber.com/IceCream2015-NYC … #UberIceCream,339,27,20,24 Jul 2015
"Your #UberIceCream sugar rush is arriving now, NYC! http://ubr.to/IceCreamSocial ",340,40,30,24 Jul 2015
The global #UberIceCream social continues! Next stop: Brazil. http://ubr.to/IceCreamSocial ,341,36,36,24 Jul 2015
Uber Hamburg is also delivering by boat! #UberIceCream,342,47,26,24 Jul 2015
#UberIceCream c'est parti ! Les 2CV @4rs1p sont prêtes à vous livrer les glaces @fabriquegivree de 13h à 18h !,343,99,107,24 Jul 2015
"We heard you screaming for #UberIceCream in the UK. 

Tap. Chill. Enjoy. http://ubr.to/IceCreamSocial ",344,43,41,24 Jul 2015
Time to treat yourself in Turkey! #UberIceCream has arrived.,345,27,9,24 Jul 2015
We're on the move and are now delivering #UberIceCream in India! http://ubr.to/IceCreamSocial ,346,67,33,23 Jul 2015
#UberIceCream now delivering by drone. How are you getting yours? @itchimiasia,347,162,168,23 Jul 2015
"Get ready for a sweet treat, Shanghai! Your #UberIceCream is arriving now. http://ubr.to/IceCreamSocial ",348,36,23,23 Jul 2015
#UberIceCream is about to kick off Down Under! Follow along for the coolest updates here: http://ubr.to/IceCreamSocial ,349,63,35,23 Jul 2015
Now delivering #UberIceCream Down Under! http://ubr.to/IceCreamSocial ,350,38,25,23 Jul 2015
#UberIceCream How will yours arrive?,351,56,23,23 Jul 2015
#UberIceCream is kicking off now in New Zealand! Follow the coolest updates: http://ubr.to/IceCreamSocial ,352,41,15,23 Jul 2015
Want the latest scoop on #UberIceCream? Follow along here for some sweet updates: http://ubr.to/IceCreamSocial ,353,62,45,23 Jul 2015
What makes #UberIceCream even sweeter in the US? Eligible @CapitalOne cardholders get their ice cream for free!,354,35,23,23 Jul 2015
Just chilling until #UberIceCream. http://ubr.to/IceCream15 ,355,81,56,23 Jul 2015
What's the cherry on top of #UberIceCream? Eligible US @CapitalOne cardholders can request for free! Full scoop here:,356,37,21,22 Jul 2015
Our agreement with @nycgov:,357,109,135,22 Jul 2015
LIVE on #Periscope: How to make Nitrogen #UberIceCream https://www.periscope.tv/w/aH_fjjE5MDY1MTF8NDQ4OTIzNDbnnFgOmMrWjGTvudyfzgyDiUnfkJN00naQueiXCm4WHg== …,358,18,9,22 Jul 2015
Save the date. #UberIceCream is back and cooler than ever. http://ubr.to/IceCream15 ,359,466,286,22 Jul 2015
"Add us on @Snapchat for sweet surprises all week!

Username: uber",360,47,39,21 Jul 2015
Ready to feel like a kid again? #UberIceCream is back and sweeter than ever! Full scoop here: http://ubr.to/IceCream15 ,361,248,270,21 Jul 2015
For the athletes who inspire us. http://t.uber.com/SpecialOlympics ,362,30,31,20 Jul 2015
.@Wunderman becomes the 1st global ad agency riding with Uber for Business. http://ubr.to/wunderman ,363,65,34,17 Jul 2015
Our team has a new ride with #UberForBusiness. #NY will be the first office to start using the service! @Uber -,364,36,29,16 Jul 2015
Be one of the first to score the new @ChelseaFC Blues—learn how to request in these 8 cities: http://ubr.to/chelseafc ,365,27,25,17 Jul 2015
This is what Uber will look like in NYC if Mayor @DeBlasioNYC's Uber cap bill passes. Say NO: http://petition.uber.org/nyc ,366,190,388,16 Jul 2015
Don't miss your shot at scoring an exclusive @ChelseaFC kit in these 8 cities tomorrow: http://ubr.to/chelseafc ,367,36,37,16 Jul 2015
"Decree by @GobiernoDF echoes Mexican experts: ride-sharing shouldn't have entry barriers, limit supply or cap prices.",368,35,28,15 Jul 2015
Congratulations @Uber_DF! @ManceraMiguelMX 1st mayor in LatAm to approve ridesharing regs http://t.uber.com/mex ,369,367,552,15 Jul 2015
"¡Gracias a ti!, por habernos hecho parte de tu vida cotidiana. Esa es la razón por la que podemos decir #UberSeQueda",370,200,185,15 Jul 2015
Are rideshare platforms like Uber the answer to limiting DUIs in the military? By @ChrisMorales07 |,371,17,13,15 Jul 2015
"Meet LadyEng, an amazing group of Uber engineers who are empowering young women in tech: http://ubr.to/ladyeng ",372,110,56,14 Jul 2015
"""Early on, we had a glitch causing all rides to be charged in pesos."" -@AustinGeidt on growing pains at #FortuneTech",373,44,20,14 Jul 2015
Congrats to our @DesigningUber team for being nominated Site of the Month on @Awwwards. Vote: http://ubr.to/siteofmonth ,374,58,16,14 Jul 2015
"On June 28th, we celebrated love. ",375,60,26,14 Jul 2015
Excited to pilot in-person senior outreach programs with free technology tutorials + discounted rides. #WHCOA,376,43,36,13 Jul 2015
"""We need to ensure every older American has the resources and support they need to thrive."" -@POTUS

Stay tuned for our #WHCOA announcement.",377,40,23,13 Jul 2015
We're proud to participate in the #WHCOA to share our senior community outreach program. http://ubr.to/whcoa ,378,698,479,13 Jul 2015
We're delivering tasty #UberEATS dishes in select cities around the world. Feast your eyes: http://ubr.to/eatslove ,379,97,42,10 Jul 2015
"Christy is a visually impaired, on-the-go mom who doesn't let anything stop her. http://ubr.to/accessibility ",380,41,19,9 Jul 2015
.@Moleskine users take note + get to your next event with ease. http://ubr.to/moleskine ,381,26,14,9 Jul 2015
We're taking on the Con with @USANetwork! COLONY vehicles are live in the app in SD. Details: http://t.uber.com/colony ,382,25,23,9 Jul 2015
Tap. Eat. Repeat. http://ubr.to/eatslove ,383,40,15,9 Jul 2015
How do we improve mobility for both riders and drivers? Check out Emrah's story to find out. http://ubr.to/accessibility ,384,20,24,8 Jul 2015
"From baggage claim to board room, @Chase has employee rides covered with Uber for Business. http://ubr.to/chase ",385,59,32,7 Jul 2015
"Forget the keys, focus on the fireworks. Have a safe and happy #4thofJuly!",386,67,40,4 Jul 2015
"“Driving with Uber makes me proud that I can get people home safe."" http://ubr.to/MADD ",387,102,63,2 Jul 2015
"Forget the keys, focus on the fireworks this #4thofJuly. Take the pledge to get home safely. http://ubr.to/TakeThePledge ",388,66,80,1 Jul 2015
Tell Mayor @BilldeBlasio and @NYCCouncil to stand up for New York City jobs. RT to spread the word!,389,75,134,30 Jun 2015
"Let's do this, #NYCPride2015! #RideWithPride",390,125,44,28 Jun 2015
Want to follow along as we #RideWithPride? Add us on Snapchat! Username: Uber,391,64,26,28 Jun 2015
We're thrilled to #RideWithPride through today's #NYCPride2015 parade. Catch us along the route for tanks + tattoos.,392,83,26,28 Jun 2015
It gets better because #LoveWins,393,160,87,28 Jun 2015
Happy 70th anniversary to the @UN! Proud to support their work helping entrepreneurs create 600M jobs by 2025. #UN70,394,104,58,26 Jun 2015
It is so ordered. #LoveWins,395,1.1K,736,26 Jun 2015
Tell the world how @ItGetsBetter. Print out a card and share your story: http://t.uber.com/pride  #RidewithPride,396,195,88,25 Jun 2015
This weekend we're partnering with @ItGetsBetter! Go to http://t.uber.com/pride  and share your story. #RideWithPride.,397,119,49,24 Jun 2015
"From San Francisco to Sweden, you can now #paypalit for @Uber in more places than ever: http://bit.ly/1e4A9lA .",398,54,41,25 Jun 2015
Congrats to @rethinkcanada for winning a bronze Cyber Lion at @Cannes_Lions. Proud to keep the streets #UberSAFE,399,15,9,25 Jun 2015
Dreaming big—a new kind of mobility.,400,86,40,24 Jun 2015
"Need lunch plans? Every #UberEATS order in NY, LA & CHI helps #86AIDS this week: http://t.uber.com/ubereatsred  @Uber",401,46,31,24 Jun 2015
"Gabriel, an Austin partner, doesn't let anything get in the way of his dreams. http://ubr.to/mobility ",402,39,13,24 Jun 2015
"See how partners like Bob, Luigi, and Gabriel are redefining mobility for themselves and for their communities.",403,14,7,24 Jun 2015
"Last weekend, we were honored to host @StudentVets in a 2 day leadership summit. http://ubr.to/sva  #UberMILITARY",404,46,26,23 Jun 2015
Ride with PRIDE.,405,315,182,23 Jun 2015
"EAT @RED, SAVE LIVES. Order UberEATS in NY, LA or CHI and together we can #86AIDS. http://ubr.to/eatred ",406,69,39,22 Jun 2015
Saving the best pickup for last.,407,64,44,19 Jun 2015
Quicksilver + Uber = win-win! Get a 20% statement credit for every ride through April 2016. #JustGotBetter.,408,50,79,15 Jun 2015
Announcing our API Hackathon winners... Drumroll please. http://ubr.to/hackwinners ,409,41,18,18 Jun 2015
Our statement on the California Labor Commission ruling:,410,68,151,17 Jun 2015
We played two truths and a lie w/ @jasonderulo. Can you guess his lie?,411,10,8,16 Jun 2015
".@jasonderulo  ""It’s me just loving what I do. If you love what you do, then you’ll never work a day in your life.""",412,121,65,16 Jun 2015
"Last week, we went #OnTheRoad w/ @JasonDerulo to learn about his new album, Everything is 4. http://ubr.to/OnTheRoad ",413,22,13,15 Jun 2015
"On June 15th 2012, the first ever Uber trip was taken in London. Since then, there’s been > 20 million. #3yearsinLDN",414,76,53,15 Jun 2015
Congrats to our @DesigningUber team for winning Site of the Day from @Awwwards http://ubr.to/awwwards ,415,44,13,15 Jun 2015
Happy Pride LA! #RideWithPRIDE today and Uber will give $1 back to @ItGetsBetter. http://t.uber.com/pridela ,416,27,9,14 Jun 2015
Congratulations to our @DesigningUber  team and a big thanks to @Awwwards for making us Site of the Day! http://ubr.to/SiteOfTheDay ,417,18,6,14 Jun 2015
This morning we were #OnTheRoad with @JasonDerulo. See the replay now on @PeriscopeCo Watch: http://ubr.to/derulo ,418,255,103,12 Jun 2015
"Thanks for being our rider zero in Mobile, @MayorStimpson!",419,29,11,12 Jun 2015
LIVE on #Periscope: On the Road with Jason Derulo https://www.periscope.tv/w/aErleTE5MDY1MTF8MjIwNjc4Mzfuxwz5XDgLmw1vulUe5PrTPLhSbXknpewBEE56DIF47w== …,420,22,14,12 Jun 2015
I'm about 2 go #OnTheRoad with @Uber to talk about #EverythingIs4. Follow @Uber and join the Periscope to tune in and ask me questions!,421,276,107,12 Jun 2015
We live in a 21st century economy. @Uber is a 21st century company.  I’m thrilled they're opening an office in #dtphx,422,74,53,11 Jun 2015
taking an uber through a new city in summer,423,4.3K,966,10 Jun 2015
Today we kicked off our partnership w/ @YWCAChicago by talking to women partners like Regina. http://ubr.to/DriveToThrive ,424,36,15,9 Jun 2015
Drive into savings with the Partner Fuel Card and get discounts at @exxonmobil branded stations and others nationwide,425,21,14,9 Jun 2015
"We're working with @YWCAChicago to create jobs for 5,000 women driver-partners in Chicago this year.",426,31,16,9 Jun 2015
"Savings of up to 15 cents per gallon for U.S. driver-partners, arriving now. http://ubr.to/fuelcard ",427,86,51,9 Jun 2015
We’ve partnered with @YWCAChicago to introduce our #DrivetoThrive campaign to empower women. http://t.uber.com/drivetothrive ,428,12,19,9 Jun 2015
Uber brand guidelines http://ubr.to/1ESAGN3  'The Uber logotype...Its simplicity denotes quality and elegance',429,61,27,7 Jun 2015
We're spotlighting the amazing new Uber brand site from our @DesigningUber team. Vote for their work here:,430,23,14,8 Jun 2015
Congrats to our incredibly talented @DesigningUber team on the new http://brand.uber.com  site.,431,49,18,8 Jun 2015
Love this. @uber's brand guidelines. We're working on something like this for the @nytimes...better late than never! http://brand.uber.com/ ,432,19,3,4 Jun 2015
"Snap your Uber destination today for a chance to be featured on our @Snapchat story.

Username: Uber",433,52,24,5 Jun 2015
"In the last 5 years, 166,105 trips have ended at Torre Mayor in Mexico City. #UberDATA",434,110,72,5 Jun 2015
"In the last 5 years: 27,081 trips have ended at Connaught Place in New Delhi. #UberDATA",435,38,23,5 Jun 2015
The last 5 years have taken us on the ultimate road trip. Thanks for joining us for the ride!,436,168,84,5 Jun 2015
"For the ultimate #TBT, check out our @Snapchat story today. 

Username: Uber",437,15,16,4 Jun 2015
"In Dec 2014, Uber riders donated enough $$ in-app to provide 5M meals to @nokidhungry in just 4 days. #TBT",438,100,49,4 Jun 2015
"In June 2014, 8 happy couples said “I Do” with UberWEDDING in SF. @travisk officiated 6 of the ceremonies. #TBT",439,19,13,4 Jun 2015
Reflections from @travisk on Uber at 5 years http://ubr.to/vision ,440,60,20,4 Jun 2015
Less than an hour left. Request your #TBT surprise NOW! #UberTurns5,441,25,11,4 Jun 2015
What will today bring? #UberTurns5,442,26,15,4 Jun 2015
"""My hope for next 5 yrs is simple: thousands more cities will allow ppl to make same choice, embrace same future.""",443,105,82,3 Jun 2015
"“Ppl from every corner of the world have said yes to this future; to innovation over status quo; to more jobs; to lighter traffic."" @travisk",444,43,43,3 Jun 2015
"""UberPOOL will help contribute to the future Uber has begun to create: fewer people owning cars, and fewer cars on the road."" @travisk",445,57,33,3 Jun 2015
"""Uber is helping so many people make smarter, life-saving decisions at the end of the night."" @travisk",446,77,43,3 Jun 2015
"""Our driver-partners are the heart and soul of this company, and the only reason we’ve come this far in just five years."" @travisk",447,40,24,3 Jun 2015
“We’re offering a real alternative to a world that looks like a parking lot and moves like a traffic jam” @travisk,448,54,46,3 Jun 2015
"""Now Uber is in a position to help tackle some of the biggest challenges facing our cities in the years ahead."" @travisk",449,32,11,3 Jun 2015
"LIVE from Uber HQ: “Why can’t we just push a button and get a ride? Uber began as the answer to that simple question."" @travisk",450,49,30,3 Jun 2015
Our CEO @travisk will be speaking shortly on 5 yrs with Uber and the road ahead. Follow us as we cover it live.,451,40,21,3 Jun 2015
"In the last 5 years: 1,951,668 trips have ended at the Ferry Building in San Francisco. #UberDATA",452,80,21,3 Jun 2015
"In the last 5 years: 19,680 trips have ended at Campo de' Fiori in Rome. #UberDATA",453,39,21,3 Jun 2015
"Happy five-year to the whole @Uber family! And to all you interns, keep ya heads up :) http://for.tn/1JlslJB ",454,82,26,3 Jun 2015
"In the last 5 years: 91,269 trips have ended at People's Square in Shanghai. #UberDATA",455,40,12,3 Jun 2015
Uber: An oral history http://for.tn/1Ft58xP ,456,35,35,3 Jun 2015
"Uber rides cover every inch of NYC on a daily basis, making a complete map of the city every 24 hours. #UberDATA",457,249,274,2 Jun 2015
"Ding ding, your uberX is arriving now!",458,20,9,1 Jun 2015
The total distance traveled w/ Uber in the past 5 years equals a round trip to Saturn. #UberDATA,459,112,142,2 Jun 2015
"What's in our rearview mirror? Follow us on @Snapchat for a look at where we've been. 

Username: Uber",460,30,20,1 Jun 2015
A heartfelt thanks to the 1MILLION driver-partners who have hit the road with us in the last 5 years. You continue to move the world.,461,117,72,1 Jun 2015
What's your destination?,462,373,168,1 Jun 2015
"5 years ago today, a journey of 1.4 billion miles began with the tap of an app. http://ubr.to/fiveyears ",463,286,300,1 Jun 2015
You can now request a ride straight from the @foursquare app. http://ubr.to/foursquare ,464,140,109,1 Jun 2015
Veterans visit @Uber today on the #VetTechTrek Day 2 to learn about #UberMILITARY,465,41,25,29 May 2015
Our #SixthStar driver-partners like Mohammad treat riders with the highest care. http://ubr.to/sixthstar ,466,58,11,28 May 2015
Learn about Fernando + other #SixthStar partners who keep the Uber experience exceptional. http://ubr.to/sixthstar ,467,30,11,28 May 2015
See how Cathie + other #SixthStar partners are drivers of excellence. http://ubr.to/sixthstar ,468,22,12,28 May 2015
Our #SixthStar driver-partners like Hilda treat riders with the highest care. http://ubr.to/sixthstar ,469,21,9,28 May 2015
Introducing new features for our deaf and hard-of-hearing driver-partners. http://ubr.to/dci ,470,666,333,28 May 2015
What does receiving the #SixthStar award mean to driver-partners like Sanjay? http://ubr.to/sixthstar ,471,23,18,28 May 2015
What does receiving the #SixthStar award mean to driver-partners like Ofentse? http://ubr.to/sixthstar ,472,13,7,27 May 2015
See how Ignacio + other #SixthStar partners are drivers of excellence. http://ubr.to/sixthstar ,473,23,11,27 May 2015
What does receiving the #SixthStar award mean to driver-partners like Mark? http://ubr.to/sixthstar ,474,23,19,27 May 2015
Please urge your Senator to support H. 3525 to protect @Uber in South Carolina!,475,123,123,27 May 2015
See how Cho + other #SixthStar partners are drivers of excellence. http://ubr.to/sixthstar ,476,12,6,27 May 2015
Our #SixthStar driver-partners like Glen treat riders with the highest care. http://ubr.to/sixthstar ,477,41,20,27 May 2015
Learn about Esteban + our other #SixthStar partners who keep the Uber experience exceptional. http://ubr.to/sixthstar ,478,21,12,27 May 2015
See how David + other #SixthStar partners are drivers of excellence. http://ubr.to/sixthstar ,479,14,7,27 May 2015
Feel right at home with our new custom integration on #PebbleTime. http://ubr.to/Pebble ,480,61,35,27 May 2015
"See the latest #SixthStar stories, from Seoul to San Francisco. http://ubr.to/SixthStarMay15 ",481,115,29,27 May 2015
Wake. Sip. Ride. We're ready when you are.,482,63,31,26 May 2015
Cruise into the weekend.,483,95,31,22 May 2015
"“#UBER: A vehicle for peace?"" My story of a Muslim, Mormon, and Jew sharing a ride ->",484,49,45,20 May 2015
"Guaranteed to turn any ruff day around, check out the #DogsOfUber. 
Adorable awaits: http://ubr.to/dogs ",485,228,94,21 May 2015
"""It’s about providing the most important information with the fewest distractions.” http://ubr.to/DevAppleWatch ",486,165,143,20 May 2015
Uber + Watch = A Perfect Match. A behind-the-scenes look on developing for the Apple Watch: http://ubr.to/DevAppleWatch ,487,42,30,20 May 2015
'What a beautiful day  mind if I turn off the music and listen to the birds?' - my lovely uber driver today,488,9.5K,2.4K,19 May 2015
"Look, tap and go: A behind-the-scenes of Uber on the Apple Watch. http://ubr.to/DevAppleWatch ",489,57,48,20 May 2015
The Uber experience is easier for Spanish-speaking riders + driver-partners with uberESPAÑOL: http://t.uber.com/uberSPANISHLA ,490,34,22,19 May 2015
"This Friday, for Referendum Day, all Ubers are FREE! Find out how to get them here: http://blog.uber.com/dublin-votes ",491,70,102,19 May 2015
Follow us on @Instagram and travel the world. Wanderlust conquered. http://ubr.to/Instagram ,492,57,23,19 May 2015
This guy is seriously tugging at our heart strings. RT in the name of love. http://ubr.to/thealtar ,493,810,844,14 May 2015
We’re turning up the volume on your next concert with @LiveNation: http://ubr.to/LiveNation ,494,45,26,14 May 2015
"Las Vegas is practically our second home, Nevada when are u gonna get uber?!!! #NVneedsUber !!",495,561,197,13 May 2015
LAS VEGAS NEEDS @UBER! #NVneedsUber,496,2.8K,1.1K,13 May 2015
Pull out the tissues! See how driving in secret led to @HudsonHoyle's #UberEngagement Blog: http://ubr.to/thealtar ,497,46,33,14 May 2015
UberMILITARY Families Coalition helps #milfams find flexible earning potential w/ @Uber: http://ubr.to/1Je3MNi ,498,14,17,13 May 2015
Finding a steady job can be difficult when you have to move a lot. We're hoping to change that for military spouses:,499,35,23,13 May 2015
AMPA is proud to join forces with @Uber for an innovative #milspouse employment initiative - https://get.uber.com/cl/ubermilitaryfamilies/?utm_source=twitter&utm_campaign=AMPA …,500,25,14,13 May 2015
